date,fabric_article_supplier,fabric_article_fexpo,fabric_mill_supplier,rd_generated_date,fabric_mill_source,coo,product_category,mill_reference,fabricexpo_reference,season,style,po,customer_name,composition,construction,weight,color,cut_width,wash,price_per_yard,shrinkage_percent,stock_qty,images,barcode,qr_code,concern_person
2024-12-17,"Moses, Leonard and Parker",Chambers-Hall,Macias LLC,2025-01-03,Portugal,IN,Denim,ax4351,gB-699,Spring/Summer,ST-654,PO05843,"Mckinney, Mckenzie and Powell","90% Cotton, 9% Spandex",Least Weave,10 oz,Khaki,64 in,No Wash,7.02,2.02,4424,image1.png,3850214418484,http://allen.com/,Miss Jennifer Landry MD
2022-08-13,Adams Group,Clark-Beasley,"Young, Young and Cobb",2020-01-22,Netherlands Antilles,AU,Twill,CS2260,eX-923,Spring/Summer,ST-207,PO82153,Irwin-Smith,"95% Cotton, 2% Spandex",Manage Weave,9 oz,White,57 in,No Wash,4.22,1.53,1915,image1.png,5228311051084,https://www.shepard.com/,Nicholas Perry
2020-06-11,Roberts and Sons,Savage-Norman,Butler Inc,2022-07-29,Chad,BF,Denim,pj0466,DG-230,Spring/Summer,ST-911,PO87136,Carney LLC,"99% Cotton, 10% Spandex",Notice Weave,14 oz,Khaki,56 in,Enzyme Wash,12.52,1.26,490,image1.png,2692763790915,http://www.valdez.com/,Stephen Mason
2023-02-10,"Thomas, Brown and Silva",Forbes Inc,"Woods, Murillo and Peterson",2022-05-19,Angola,SK,Cotton,yb8049,le-793,Resort,ST-368,PO63406,Martinez LLC,"98% Cotton, 6% Spandex",North Weave,9 oz,Indigo Blue,52 in,Enzyme Wash,4.25,1.53,1925,image2.png,4235487192504,http://www.murray.com/,Timothy White
2025-04-18,Harrison LLC,Stephens-Salas,Olson Ltd,2023-05-20,Bermuda,CG,Cotton,uZ5198,mF-926,Spring/Summer,ST-570,PO36236,Madden Group,"94% Cotton, 10% Spandex",Let Weave,9 oz,Charcoal Grey,64 in,No Wash,8.36,1.06,1775,image2.png,7134160521631,https://romero-larson.com/,Wayne Ross
2021-12-14,Moore-Dixon,"Larsen, Craig and Harrison","Cruz, Evans and Thompson",2023-06-03,Chile,DZ,Cotton,bN0235,CN-750,Resort,ST-329,PO02838,"Juarez, Olson and Hartman","92% Cotton, 5% Spandex",Get Weave,7 oz,Indigo Blue,53 in,Acid Wash,14.83,4.92,4195,image2.png,8154420414571,http://miller-williams.com/,Zachary Dudley
2021-11-08,Miller-Velazquez,"Barber, Wiley and Ray",Hunt Group,2024-07-24,Cuba,RU,Denim,ar4115,ud-614,Fall/Winter,ST-038,PO41989,"Alvarez, Velasquez and King","98% Cotton, 4% Spandex",City Weave,9 oz,White,57 in,No Wash,3.29,4.53,1451,image1.png,8992138955906,https://johnson.com/,Abigail Jackson
2021-08-23,Rowe-Simmons,"Allen, Hernandez and Raymond",Odonnell-Smith,2023-03-31,Austria,AL,Chino,hi9131,RA-765,Resort,ST-955,PO77422,Nicholson-Ellis,"99% Cotton, 0% Spandex",Maintain Weave,10 oz,White,57 in,No Wash,3.36,1.46,1601,image1.png,6562337311258,http://middleton.com/,Justin Johnson
2021-09-19,"Gonzalez, Cox and Clark",Jones Ltd,"Kelly, Hall and Taylor",2023-02-27,Ghana,UG,Chino,Jb6375,Sk-009,Resort,ST-417,PO92136,"Kelly, Matthews and Phelps","99% Cotton, 7% Spandex",Media Weave,8 oz,Black,56 in,Stone Wash,6.86,2.36,685,image1.png,7174830365547,https://www.hernandez.com/,Robert Adams
2022-03-14,Martinez-Brown,Nelson-Ochoa,Alexander and Sons,2021-03-07,Saint Barthelemy,IR,Denim,Zz7154,st-903,Fall/Winter,ST-827,PO76613,"Harmon, Thompson and Martin","97% Cotton, 8% Spandex",Edge Weave,11 oz,Khaki,65 in,Enzyme Wash,8.53,4.72,439,image2.png,8264290328417,http://reed.com/,David Bailey
