date,mill_name,supplier_name,concern_person,concern_person_designation,product_category,product_range,speciality,country_of_origin,email_id1,email_id2,email_id3,phone_number1,phone_number2,whatsapp_number,wechat_id,payment_term,fabric_reference,mailing_address,visiting_address,linkedin_profile,remarks,concern_fe_rep
2021-04-11,"Torres, Jacobs and Hobbs",Green-Short,Jordan Gibson,Sales Lead,Cotton,Stretch,Premium,Liechtenstein,katiegarcia@example.net,john45@example.org,ohernandez@example.net,655.837.4956,+1-716-260-2660,001-206-439-0894x4430,david06,LC at Sight,Ref330,"3426 Paul Freeway, Lake Tabitha, MS 40280","34486 Gabriel Views, North Stephanie, IN 97790",http://hernandez-lewis.net/,Fast response time,Amanda Rose
2024-08-26,Koch-Simon,"Oliver, Turner and Rogers",Cynthia Hill,Operations Head,Linen,Lightweight,Recycled,Micronesia,john62@example.org,fweaver@example.org,joshuagreen@example.net,222-517-6485x74097,320-506-4867x263,753.290.2129x636,patelwanda,LC at Sight,Ref348,"00999 Catherine Spurs, Gibbsstad, TX 51430","0350 Lowery Underpass Apt. 175, Katherinefort, PR 36013",https://galvan.com/,Reliable supplier with on-time delivery,Randy Jennings
2025-04-16,Johnson Group,"Russo, Taylor and Jensen",Ruben Cooley,Procurement Manager,Polyester,Heavyweight,Recycled,Taiwan,kimberly45@example.net,jasonpadilla@example.org,vincentcarpenter@example.net,(561)817-3248,001-226-489-9511x53506,(230)850-5174,johnbush,Net 30,Ref201,"3922 Monica Turnpike Apt. 714, East Jesus, SC 10410","26285 Ellison Common, East Kathy, AZ 43577",https://allen.net/,Interested in sustainable options,Richard Ware
2022-12-26,Stewart-Hill,Brown LLC,Laura Trujillo,Sales Lead,Linen,Heavyweight,Recycled,Lebanon,hannah43@example.com,zproctor@example.org,melissa22@example.net,687.695.6383x4799,(973)217-7751,001-561-390-2338,zthompson,Advance,Ref902,"0594 Michael Keys Suite 630, West Kimberlychester, NH 20974","202 Cox Prairie, North Sherry, WI 84590",http://www.henry.com/,Fast response time,Mark Underwood
2024-04-16,"Summers, Olson and Stephenson",Hines-Fitzpatrick,James Mathews,Operations Head,Wool,Lightweight,Recycled,British Virgin Islands,ywilliams@example.org,daniel73@example.com,franklintracy@example.com,982.795.4369,7994209831,(432)287-7125x68244,claudiawilliams,Net 30,Ref643,"40778 Jamie Streets, New Rhondaview, KY 50827","13611 Brian Groves Suite 838, Rayview, MN 02875",http://www.turner.org/,Interested in sustainable options,Stephanie Morgan
2021-01-30,Jensen Group,"Rivera, Hogan and Marshall",Christopher Morgan,Operations Head,Polyester,Lightweight,Organic,Saudi Arabia,eholder@example.org,seankent@example.org,amy78@example.net,+1-454-312-1679x23710,754.995.7597x23949,206.678.5993x29830,kennethmelton,Net 45,Ref543,"USS Miller, FPO AP 90198","224 Xavier Villages Suite 139, Lake Jessicabury, RI 01183",https://gordon.com/,Fast response time,Zachary Kennedy
2024-12-10,Perry-Morrison,Bush Group,Megan Butler,Supply Chain Director,Cotton,Lightweight,Premium,Guinea,margaretsimmons@example.org,kdavis@example.net,tamara01@example.org,+1-663-490-3952x044,468.585.7170,804.243.7036x985,melanieberger,Net 45,Ref335,"784 Romero Springs Suite 091, South Daniel, ID 71011","91873 Theresa Ranch, East Crystal, PA 51520",http://wilson.biz/,Excellent quality control,Dawn Baker
2025-05-18,Green and Sons,"Gray, Vargas and Brown",Penny Williams,Procurement Manager,Linen,Heavyweight,Organic,Cambodia,rgarcia@example.net,cookejaime@example.com,catherinemiller@example.com,6277479527,257.758.2334x124,001-455-371-8921x3269,hmitchell,Advance,Ref045,"41639 Arthur Circles Suite 456, Josephshire, NM 83029","7159 Wheeler Tunnel Apt. 885, South Michael, MO 85002",http://www.jackson.com/,Excellent quality control,Dr. Matthew Terrell
2024-08-03,Smith and Sons,Thompson-Robinson,Kenneth Harrison,Sales Lead,Wool,Non-stretch,Recycled,French Guiana,heidi38@example.net,danielle88@example.net,paultodd@example.com,801-808-3828,(275)587-3652,306.254.2214,shannonmelissa,Advance,Ref527,"Unit 7116 Box 6698, DPO AP 29279","USCGC Sanchez, FPO AP 13729",https://www.mays.com/,Excellent quality control,Tammy Young
2020-07-11,Morgan-Henry,Bautista LLC,Elizabeth Hinton,Supply Chain Director,Linen,Heavyweight,Recycled,Guam,kelly15@example.org,cburgess@example.com,bperez@example.org,533-666-9383,+1-972-846-9937x4429,620.976.0140x739,michellejames,Net 30,Ref874,"97388 Jennifer Lights Apt. 114, Port Amber, NY 98109","851 Bell Garden, Lake Pamelaland, CA 72301",http://chandler.info/,Reliable supplier with on-time delivery,Jeffrey Robinson
